,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2943,2024-580,Australian Open,Hard,128.0,G,2024-01-15,100,104925,1.0,,Novak Djokovic,R,188.0,SRB,36.6,209976,,Q,Dino Prizmic,R,188.0,CRO,18.4,6-2 6-7(5) 6-3 6-4,5,R128,241.0,11.0,1.0,129.0,77.0,51.0,32.0,20.0,5.0,9.0,7.0,7.0,123.0,84.0,55.0,12.0,19.0,9.0,17.0,1.0,11055.0,187.0,321.0
2944,2024-580,Australian Open,Hard,128.0,G,2024-01-15,101,200615,,,Alexei Popyrin,R,196.0,AUS,24.4,117360,,WC,Marc Polmans,R,188.0,AUS,26.7,6-3 7-6(3) 6-2,5,R128,148.0,20.0,3.0,87.0,63.0,51.0,15.0,15.0,3.0,3.0,11.0,5.0,113.0,77.0,51.0,15.0,14.0,7.0,11.0,43.0,1052.0,154.0,406.0
2945,2024-580,Australian Open,Hard,128.0,G,2024-01-15,102,104792,,,Gael Monfils,R,193.0,FRA,37.3,105870,,,Yannick Hanfmann,R,193.0,GER,32.1,6-4 6-3 7-5,5,R128,139.0,16.0,5.0,94.0,49.0,36.0,29.0,16.0,4.0,5.0,6.0,4.0,108.0,70.0,45.0,18.0,15.0,8.0,12.0,76.0,737.0,52.0,929.0
2946,2024-580,Australian Open,Hard,128.0,G,2024-01-15,103,144869,30.0,,Tomas Martin Etcheverry,R,196.0,ARG,24.4,104918,,,Andy Murray,R,191.0,GBR,36.6,6-4 6-2 6-2,5,R128,143.0,11.0,0.0,80.0,57.0,43.0,14.0,13.0,4.0,5.0,6.0,2.0,82.0,43.0,31.0,13.0,13.0,8.0,14.0,32.0,1375.0,44.0,1050.0
2947,2024-580,Australian Open,Hard,128.0,G,2024-01-15,104,105173,20.0,,Adrian Mannarino,L,180.0,FRA,35.5,104527,,,Stan Wawrinka,R,183.0,SUI,38.8,6-4 3-6 5-7 6-3 6-0,5,R128,216.0,13.0,6.0,131.0,76.0,62.0,27.0,23.0,6.0,10.0,14.0,0.0,138.0,70.0,52.0,30.0,23.0,6.0,13.0,19.0,1765.0,56.0,907.0
2948,2024-580,Australian Open,Hard,128.0,G,2024-01-15,105,144719,,,Jaume Munar,R,183.0,ESP,26.6,207686,,,Alexander Shevchenko,R,185.0,KAZ,23.1,6-3 6-3 6-1,5,R128,115.0,8.0,3.0,70.0,49.0,40.0,11.0,13.0,3.0,4.0,3.0,5.0,91.0,49.0,31.0,15.0,12.0,9.0,15.0,82.0,706.0,48.0,975.0
2949,2024-580,Australian Open,Hard,128.0,G,2024-01-15,106,106331,,,Christopher Oconnell,R,183.0,AUS,29.6,106426,,,Cristian Garin,R,185.0,CHI,27.6,3-6 7-5 4-6 6-1 7-5,5,R128,261.0,18.0,5.0,173.0,97.0,73.0,33.0,25.0,12.0,17.0,13.0,10.0,148.0,82.0,55.0,32.0,25.0,4.0,11.0,68.0,814.0,86.0,680.0
2950,2024-580,Australian Open,Hard,128.0,G,2024-01-15,107,210097,16.0,,Ben Shelton,L,193.0,USA,21.2,105138,,,Roberto Bautista Agut,R,183.0,ESP,35.7,6-2 7-6(2) 7-5,5,R128,166.0,14.0,2.0,103.0,70.0,55.0,13.0,16.0,9.0,11.0,1.0,2.0,114.0,87.0,50.0,13.0,16.0,1.0,6.0,16.0,2225.0,72.0,776.0
2951,2024-580,Australian Open,Hard,128.0,G,2024-01-15,108,126203,12.0,,Taylor Fritz,R,196.0,USA,26.2,207680,,,Facundo Diaz Acosta,L,183.0,ARG,23.0,4-6 6-3 3-6 6-2 6-4,5,R128,243.0,8.0,1.0,150.0,98.0,65.0,27.0,23.0,12.0,17.0,4.0,7.0,157.0,99.0,65.0,25.0,23.0,9.0,16.0,12.0,2840.0,90.0,661.0
2952,2024-580,Australian Open,Hard,128.0,G,2024-01-15,109,200384,,LL,Hugo Gaston,L,173.0,FRA,23.3,106148,,,Roberto Carballes Baena,R,183.0,ESP,30.8,6-3 6-2 3-6 6-4,5,R128,174.0,8.0,3.0,108.0,68.0,44.0,28.0,18.0,6.0,8.0,8.0,3.0,133.0,83.0,55.0,21.0,18.0,11.0,16.0,97.0,626.0,63.0,846.0
