tourney_date,w_aces,l_aces,w_doubleFaults,l_doubleFaults,w_firstServePointsAccuracy,l_firstServePointsAccuracy,w_secondServePointsAccuracy,l_secondServePointsAccuracy,w_breakPointsSaved,l_breakPointsSaved
20240115,11.0,7.0,1.0,7.0,51.0,55.0,32.0,12.0,5.0,9.0
20240115,20.0,11.0,3.0,5.0,51.0,51.0,15.0,15.0,3.0,7.0
20240115,16.0,6.0,5.0,4.0,36.0,45.0,29.0,18.0,4.0,8.0
20240115,11.0,6.0,0.0,2.0,43.0,31.0,14.0,13.0,4.0,8.0
20240115,13.0,14.0,6.0,0.0,62.0,52.0,27.0,30.0,6.0,6.0
20240115,8.0,3.0,3.0,5.0,40.0,31.0,11.0,15.0,3.0,9.0
20240115,18.0,13.0,5.0,10.0,73.0,55.0,33.0,32.0,12.0,4.0
20240115,14.0,1.0,2.0,2.0,55.0,50.0,13.0,13.0,9.0,1.0
20240115,8.0,4.0,1.0,7.0,65.0,65.0,27.0,25.0,12.0,9.0
20240115,8.0,8.0,3.0,3.0,44.0,55.0,28.0,21.0,6.0,11.0
20240115,10.0,16.0,3.0,6.0,47.0,46.0,19.0,25.0,0.0,11.0
20240115,9.0,1.0,3.0,7.0,64.0,50.0,27.0,34.0,6.0,8.0
20240115,7.0,6.0,4.0,4.0,62.0,56.0,31.0,26.0,3.0,5.0
20240115,11.0,21.0,6.0,3.0,59.0,73.0,39.0,29.0,0.0,8.0
20240115,18.0,14.0,3.0,2.0,70.0,66.0,32.0,39.0,12.0,8.0
20240115,10.0,6.0,6.0,3.0,48.0,36.0,27.0,28.0,3.0,9.0
20240115,7.0,8.0,2.0,2.0,35.0,45.0,24.0,15.0,5.0,10.0
20240115,11.0,7.0,2.0,3.0,56.0,45.0,23.0,19.0,4.0,3.0
20240115,16.0,11.0,2.0,4.0,90.0,71.0,28.0,33.0,17.0,7.0
20240115,6.0,13.0,2.0,5.0,42.0,34.0,15.0,17.0,8.0,7.0
20240115,15.0,12.0,8.0,2.0,71.0,56.0,29.0,19.0,10.0,5.0
20240115,4.0,4.0,0.0,4.0,56.0,40.0,13.0,19.0,6.0,7.0
20240115,23.0,34.0,8.0,6.0,76.0,73.0,34.0,26.0,11.0,2.0
20240115,15.0,10.0,4.0,3.0,65.0,68.0,33.0,26.0,7.0,8.0
20240115,10.0,12.0,1.0,1.0,35.0,30.0,24.0,18.0,4.0,1.0
20240115,16.0,1.0,1.0,0.0,52.0,40.0,21.0,15.0,9.0,8.0
20240115,9.0,18.0,4.0,6.0,92.0,85.0,29.0,29.0,9.0,10.0
20240115,14.0,8.0,4.0,2.0,53.0,65.0,32.0,23.0,3.0,9.0
20240115,12.0,13.0,5.0,11.0,52.0,61.0,23.0,20.0,2.0,10.0
20240115,21.0,15.0,5.0,2.0,78.0,72.0,29.0,21.0,12.0,5.0
20240115,9.0,4.0,2.0,3.0,50.0,30.0,9.0,18.0,1.0,7.0
20240115,21.0,15.0,1.0,6.0,83.0,91.0,25.0,34.0,4.0,19.0
20240115,17.0,4.0,5.0,4.0,66.0,57.0,29.0,26.0,6.0,8.0
20240115,11.0,5.0,3.0,7.0,66.0,64.0,21.0,29.0,3.0,11.0
20240115,18.0,3.0,4.0,8.0,55.0,59.0,23.0,19.0,1.0,8.0
20240115,15.0,16.0,5.0,3.0,68.0,67.0,38.0,35.0,10.0,4.0
20240115,9.0,9.0,1.0,3.0,55.0,55.0,30.0,26.0,7.0,12.0
20240115,13.0,14.0,2.0,7.0,47.0,52.0,26.0,22.0,1.0,7.0
20240115,12.0,12.0,4.0,7.0,47.0,46.0,26.0,19.0,9.0,7.0
20240115,24.0,3.0,1.0,0.0,48.0,40.0,20.0,21.0,1.0,4.0
20240115,8.0,5.0,8.0,6.0,64.0,51.0,16.0,35.0,5.0,16.0
20240115,26.0,15.0,3.0,3.0,87.0,78.0,31.0,33.0,2.0,5.0
20240115,18.0,11.0,0.0,4.0,54.0,51.0,18.0,17.0,7.0,10.0
20240115,11.0,7.0,2.0,4.0,57.0,46.0,18.0,23.0,5.0,8.0
20240115,16.0,15.0,10.0,8.0,75.0,85.0,40.0,28.0,5.0,8.0
20240115,31.0,12.0,10.0,5.0,84.0,84.0,22.0,31.0,7.0,7.0
20240115,19.0,17.0,5.0,1.0,66.0,59.0,27.0,25.0,4.0,4.0
20240115,9.0,12.0,4.0,7.0,39.0,50.0,21.0,19.0,5.0,13.0
20240115,19.0,8.0,2.0,1.0,73.0,59.0,22.0,27.0,8.0,6.0
20240115,16.0,6.0,6.0,10.0,69.0,57.0,21.0,36.0,6.0,6.0
20240115,8.0,13.0,4.0,3.0,56.0,48.0,23.0,17.0,8.0,2.0
20240115,6.0,3.0,2.0,3.0,32.0,30.0,21.0,10.0,3.0,4.0
20240115,6.0,2.0,3.0,4.0,36.0,24.0,21.0,26.0,3.0,8.0
20240115,15.0,2.0,6.0,1.0,50.0,58.0,36.0,17.0,6.0,5.0
20240115,17.0,9.0,3.0,11.0,61.0,66.0,30.0,21.0,6.0,8.0
20240115,11.0,2.0,5.0,2.0,34.0,27.0,20.0,11.0,4.0,6.0
